[2025-01-23 21:18:27,693] INFO [Controller id=0 epoch=5] Sending UpdateMetadata request to brokers HashSet() for 0 partitions (state.change.logger)
[2025-01-23 21:19:41,820] INFO [Controller id=0 epoch=6] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2025-01-23 21:19:41,833] INFO [Controller id=0 epoch=6] Sending LeaderAndIsr request to broker 0 with 51 become-leader and 0 become-follower partitions (state.change.logger)
[2025-01-23 21:19:41,834] INFO [Controller id=0 epoch=6] Sending UpdateMetadata request to brokers HashSet(0) for 51 partitions (state.change.logger)
[2025-01-23 21:19:41,956] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 51 partitions (state.change.logger)
[2025-01-23 21:19:41,962] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 6 as part of the become-leader transition for 51 partitions (state.change.logger)
[2025-01-23 21:19:41,965] INFO [Broker id=0] Leader __consumer_offsets-3 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:41,971] INFO [Broker id=0] Leader wikimedia_recent-0 with topic id Some(XGKHm3xvSFC9Yhe1qEtCYA) starts at leader epoch 0 from offset 10719 with partition epoch 0, high watermark 10719, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:41,971] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:41,976] INFO [Broker id=0] Leader __consumer_offsets-41 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:41,980] INFO [Broker id=0] Leader __consumer_offsets-10 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:41,986] INFO [Broker id=0] Leader __consumer_offsets-33 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:41,990] INFO [Broker id=0] Leader __consumer_offsets-48 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:41,995] INFO [Broker id=0] Leader __consumer_offsets-19 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,000] INFO [Broker id=0] Leader __consumer_offsets-34 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,006] INFO [Broker id=0] Leader __consumer_offsets-4 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-01-23 21:19:42,010] INFO [Broker id=0] Leader __consumer_offsets-11 with topic id Some(4Ii5KGPuTnyAX3QgUJ_pYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
